Team,Year,Team Valuation,Revenue,Operating Income,Player Expenses,Gate Receipts,Metro Area Population,Stadium Year Built,Stadium Age,Average Attendance,Average Ticket Price,Fan Cost Index,Record Percentage,# of All-Stars,MVP/Cy Young Winner,Playoff Appearance,World Series Championship
Chicago White Sox,2018,1500,266,30.0,119,48,9.5,1991,27,20117,30,216.90,0.4136,1,None,None,0
Chicago White Sox,2017,1350,269,42.0,142,51,9.5,1991,26,21559,29,229.50,0.4815,2,None,None,0
Chicago White Sox,2016,1050,240,20.2,135,46,9.5,1991,25,21677,26,208.18,0.4691,1,None,None,0
Chicago White Sox,2015,975,227,31.9,112,43,9.5,1991,24,20381,26,210.18,0.4506,3,None,None,0
Chicago White Sox,2014,695,210,-2.7,132,47,9.5,1991,23,21832,26,210.18,0.3889,2,None,None,0
Chicago White Sox,2013,692,216,22.9,115,61,9.5,1991,22,24271,29,222.98,0.5247,4,None,None,0
Chicago White Sox,2012,600,214,10.8,138,74,9.4,1991,21,24705,41,258.68,0.4877,2,None,None,0
Chicago White Sox,2011,526,210,27.6,119,77,9.4,1991,20,27091,39,249.60,0.5432,2,None,None,0
Chicago White Sox,2010,466,194,26.4,113,68,9.5,1991,19,28200,32,224.11,0.4877,1,None,None,0
Chicago White Sox,2009,450,196,13.8,126,72,9.5,1991,18,30496,30,214.61,0.5460,2,None,ALDS,0
Chicago Cubs,2018,2900,457,102.0,186,214,9.5,1914,104,39501,67,368.28,0.5679,1,None,NLCS,0
Chicago Cubs,2017,2675,434,84.0,189,203,9.5,1914,103,39906,51,312.32,0.6398,5,MVP,WS,1
Chicago Cubs,2016,2200,340,50.8,154,144,9.5,1914,102,36039,45,300.73,0.5988,2,Cy Young,NLCS,0
Chicago Cubs,2015,1800,302,73.3,111,113,9.5,1914,101,32742,44,304.64,0.4506,2,None,None,0
Chicago Cubs,2014,1200,266,27.3,129,117,9.5,1914,100,32626,45,298.20,0.4074,0,None,None,0
Chicago Cubs,2013,1000,274,32.1,137,132,9.5,1914,99,35590,46,300.29,0.3765,2,None,None,0
Chicago Cubs,2012,879,266,28.3,162,140,9.4,1914,98,37259,47,305.60,0.4383,1,None,None,0
Chicago Cubs,2011,773,258,23.4,157,146,9.4,1914,97,37814,53,329.74,0.4630,1,None,None,0
